Ticker,ForeignNet
PLAS,0.0
PLIN,0.0
PMJS,0.0
PMMP,0.0
PMUI,-165100.0
PNBN,-423400.0
PNBS,-10800.0
PNGO,0.0
PNIN,-124800.0
PNLF,2908800.0
PNSE,0.0
POLA,0.0
POLI,0.0
POLL,0.0
POLU,0.0
POLY,0.0
POOL,0.0
PORT,0.0
POSA,0.0
POWR,-82100.0
PPGL,-400.0
PPRE,-5321300.0
PPRI,-303900.0
PPRO,0.0
PRAY,0.0
PRDA,24800.0
PRIM,278400.0
PSAB,41800.0
PSAT,9700.0
PSDN,22600.0
PSGO,-57400.0
PSKT,-2146100.0
PSSI,13400.0
PTBA,6558700.0
PTDU,0.0
PTIS,0.0
PTMP,-4651800.0
PTMR,0.0
PTPP,-379400.0
PTPS,-40400.0
PTPW,0.0
PTRO,-2336500.0
PTSN,-4700.0
PTSP,5200.0
PUDP,-1400.0
PURA,0.0
PURE,0.0
PURI,-2500.0
PWON,3303200.0
PYFA,2306800.0
PZZA,-15200.0
RAAM,-106800.0
RAFI,0.0
RAJA,644600.0
RALS,-2995700.0
RANC,-6800.0
RATU,-374200.0
RBMS,0.0
RCCC,0.0
RDTX,0.0
REAL,-1093500.0
RELF,1201000.0
RELI,3800.0
RGAS,-1200.0
RICY,0.0
RIGS,0.0
RIMO,0.0
RISE,79700.0
RLCO,2435900.0
RMKE,357500.0
RMKO,4853200.0
ROCK,13200.0
RODA,97600.0
RONY,-2300.0
ROTI,0.0
RSCH,-458400.0
RSGK,0.0
RUIS,112700.0
RUNS,50000.0
SAFE,0.0
SAGE,0.0
SAME,-148900.0
SAMF,24400.0
SAPX,10900.0
SATU,-112100.0
SBAT,0.0
SBMA,0.0
SCCO,100.0
SCMA,-13963200.0
SCNP,0.0
SCPI,0.0
SDMU,-307200.0
SDPC,-30000.0
SDRA,0.0
SEMA,8400.0
SFAN,-1000.0
SGER,-380500.0
SGRO,-17900.0
SHID,5700.0
SHIP,-1500.0
SICO,39100.0
SIDO,-2755100.0
SILO,807600.0
SIMA,0.0
SIMP,-924500.0
SINI,0.0
SIPD,8100.0
SKBM,-125000.0
SKLT,-4800.0
SKRN,-44200.0
SKYB,0.0
SLIS,-2644300.0
SMAR,-3100.0
SMBR,397300.0
SMCB,0.0
SMDM,0.0
SMDR,-1494900.0
SMGA,-4791400.0
SMGR,-4928700.0
SMIL,-1175800.0
SMKL,20000.0
SMKM,291100.0
SMLE,-26600.0
SMMA,-600.0
SMMT,-10400.0
SMRA,-5170100.0
SMRU,0.0
SMSM,-532300.0
SNLK,116200.0
SOCI,-10168700.0
SOFA,-922400.0
SOHO,5900.0
SOLA,-916100.0
SONA,0.0
SOSS,0.0
SOTS,-121600.0
SOUL,0.0
SPMA,-9700.0
SPRE,283500.0
SPTO,180500.0
SQMI,0.0
SRAJ,-1900.0
SRIL,0.0
SRSN,3012600.0
SRTG,-384700.0
SSIA,-1482200.0
SSMS,1034100.0
SSTM,82100.0
STAA,1340900.0
STAR,-13100.0
STRK,3196200.0
STTP,0.0
SUGI,0.0
SULI,345800.0
SUNI,-7800.0
SUPA,-4724200.0
SUPR,0.0
SURE,0.0
SURI,-26800.0
SWAT,0.0
SWID,-32400.0
TALF,0.0
TAMA,0.0
TAMU,0.0
TAPG,-5400000.0
TARA,0.0
TAXI,400000.0
TAYS,-55900.0
TBIG,-102900.0
TBLA,500.0
TBMS,-1500.0
TCID,-3100.0
TCPI,165900.0
TDPM,0.0
TEBE,-1295300.0
TECH,0.0
TELE,0.0
TFAS,-30000.0
TFCO,0.0
TGKA,-100.0
TGRA,0.0
TGUK,0.0
TIFA,4700.0
TINS,-15972500.0
TIRA,22300.0
TIRT,0.0
TKIM,-523800.0
