Ticker,Sector
IFII.JK,Basic Materials
PMJS.JK,Consumer Cyclical
UCID.JK,Consumer Defensive
GLVA.JK,Technology
PGJO.JK,Consumer Cyclical
AMAR.JK,Financial Services
CSRA.JK,Consumer Defensive
INDO.JK,Consumer Cyclical
AMOR.JK,Financial Services
TRIN.JK,Real Estate
DMND.JK,Consumer Defensive
PURA.JK,Industrials
PTPW.JK,Industrials
TAMA.JK,Real Estate
IKAN.JK,Consumer Defensive
SAMF.JK,Basic Materials
SBAT.JK,Consumer Cyclical
KBAG.JK,Consumer Cyclical
CBMF.JK,Unknown
RONY.JK,Industrials
CSMI.JK,Consumer Cyclical
BBSS.JK,Industrials
BHAT.JK,Financial Services
CASH.JK,Industrials
TECH.JK,Unknown
EPAC.JK,Consumer Cyclical
UANG.JK,Consumer Cyclical
PGUN.JK,Consumer Defensive
SOFA.JK,Utilities
PPGL.JK,Industrials
TOYS.JK,Consumer Cyclical
SGER.JK,Energy
TRJA.JK,Industrials
PNGO.JK,Consumer Defensive
SCNP.JK,Technology
BBSI.JK,Financial Services
KMDS.JK,Consumer Defensive
PURI.JK,Real Estate
SOHO.JK,Healthcare
HOMI.JK,Real Estate
ROCK.JK,Real Estate
ENZO.JK,Consumer Defensive
PLAN.JK,Consumer Cyclical
PTDU.JK,Industrials
ATAP.JK,Consumer Cyclical
VICI.JK,Consumer Defensive
PMMP.JK,Consumer Defensive
BANK.JK,Financial Services
WMUU.JK,Consumer Defensive
EDGE.JK,Technology
UNIQ.JK,Energy
BEBS.JK,Basic Materials
SNLK.JK,Consumer Cyclical
ZYRX.JK,Technology
LFLO.JK,Consumer Cyclical
FIMP.JK,Industrials
TAPG.JK,Consumer Defensive
NPGF.JK,Basic Materials
LUCY.JK,Consumer Cyclical
ADCP.JK,Real Estate
HOPE.JK,Industrials
MGLV.JK,Consumer Cyclical
TRUE.JK,Real Estate
LABA.JK,Basic Materials
ARCI.JK,Basic Materials
IPAC.JK,Real Estate
MASB.JK,Financial Services
BMHS.JK,Healthcare
FLMC.JK,Consumer Defensive
NICL.JK,Basic Materials
UVCR.JK,Technology
BUKA.JK,Consumer Cyclical
HAIS.JK,Industrials
OILS.JK,Consumer Defensive
GPSO.JK,Technology
MCOL.JK,Energy
RSGK.JK,Healthcare
RUNS.JK,Technology
SBMA.JK,Basic Materials
CMNT.JK,Basic Materials
GTSI.JK,Industrials
IDEA.JK,Consumer Defensive
KUAS.JK,Industrials
BOBA.JK,Consumer Defensive
MTEL.JK,Communication Services
DEPO.JK,Consumer Cyclical
BINO.JK,Industrials
CMRY.JK,Consumer Defensive
WGSH.JK,Technology
TAYS.JK,Consumer Defensive
WMPP.JK,Unknown
RMKE.JK,Energy
OBMD.JK,Basic Materials
AVIA.JK,Basic Materials
IPPE.JK,Consumer Defensive
NASI.JK,Consumer Defensive
BSML.JK,Industrials
DRMA.JK,Consumer Cyclical
ADMR.JK,Basic Materials
SEMA.JK,Industrials
ASLC.JK,Consumer Cyclical
NETV.JK,Communication Services
BAUT.JK,Industrials
ENAK.JK,Consumer Cyclical
NTBK.JK,Industrials
SMKM.JK,Industrials
